id,lang,title,arabicText,transliteration,translation,category,reference,source,count,isFeatured
morning_1,es,Al comenzar el día,أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ,Asbahna wa asbaha l-mulku lillah,Hemos amanecido y el dominio pertenece a Allah.,morning,"Al-Bukhari 3186, Muslim 2723",Hisnul Muslim,1,true
morning_1,en,,,,,,,,,false
morning_1,ar,أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ,أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ,,,morning,"Al-Bukhari 3186, Muslim 2723",Hisnul Muslim,1,true
morning_2,es,Al despertar del sueño,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ,Alhamdu lillahi alladhi ahyana ba'da ma amatana wa ilayhi n-nushur,"Alabado sea Allah, que nos devolvió la vida después de habernos hecho morir, y hacia Él será el retorno.",morning,Al-Bukhari 6312,Hisnul Muslim,1,true
morning_2,en,,,,,,,,,false
morning_2,ar,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ,,,morning,Al-Bukhari 6312,Hisnul Muslim,1,true
morning_3,es,Protección de la mañana,أَعُوذُ بِكَلِمَاتِ اللَّهِ التَّامَّاتِ مِنْ شَرِّ مَا خَلَقَ,A'udhu bi kalimati llahi t-tammati min sharri ma khalaq,Busco refugio en las palabras completas de Allah del mal de lo que ha creado.,morning,Muslim 2709,Hisnul Muslim,3,false
morning_3,en,,,,,,,,,false
morning_3,ar,أَعُوذُ بِكَلِمَاتِ اللَّهِ التَّامَّاتِ مِنْ شَرِّ مَا خَلَقَ,أَعُوذُ بِكَلِمَاتِ اللَّهِ التَّامَّاتِ مِنْ شَرِّ مَا خَلَقَ,,,morning,Muslim 2709,Hisnul Muslim,3,false
morning_4,es,Al salir de casa por la mañana,بِسْمِ اللَّهِ تَوَكَّلْتُ عَلَى اللَّهِ لاَ حَوْلَ وَلاَ قُوَّةَ إِلاَّ بِاللَّهِ,Bismillah tawakkaltu alallah wa la hawla wa la quwwata illa billah,En el nombre de Allah. En Allah pongo mi confianza. No hay fuerza ni poder sino en Allah.,morning,Abu Dawud 5095,Hisnul Muslim,1,false
morning_4,en,,,,,,,,,false
morning_4,ar,بِسْمِ اللَّهِ تَوَكَّلْتُ عَلَى اللَّهِ لاَ حَوْلَ وَلاَ قُوَّةَ إِلاَّ بِاللَّهِ,بِسْمِ اللَّهِ تَوَكَّلْتُ عَلَى اللَّهِ لاَ حَوْلَ وَلاَ قُوَّةَ إِلاَّ بِاللَّهِ,,,morning,Abu Dawud 5095,Hisnul Muslim,1,false
morning_5,es,Al vestirse,الْحَمْدُ لِلَّهِ الَّذِي كَسَانِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلاَ قُوَّةٍ,Alhamdu lillahi alladhi kasani hadha wa razaqanihi min ghayri hawlin minni wa la quwwah,Alabado sea Allah que me ha vestido esto y me lo ha proveído sin esfuerzo ni poder mío.,morning,Abu Dawud 4023,Hisnul Muslim,1,false
morning_5,en,,,,,,,,,false
morning_5,ar,الْحَمْدُ لِلَّهِ الَّذِي كَسَانِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلاَ قُوَّةٍ,الْحَمْدُ لِلَّهِ الَّذِي كَسَانِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلاَ قُوَّةٍ,,,morning,Abu Dawud 4023,Hisnul Muslim,1,false
morning_6,es,Al entrar al baño,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبُثِ وَالْخَبَائِثِ,Allahumma inni a'udhu minal-khuthuthi wa l-khaba'ith,"Oh Allah, busco Tu protección de los masculinos y femeninos inmundos.",morning,Al-Bukhari 6322,Hisnul Muslim,1,false
morning_6,en,,,,,,,,,false
morning_6,ar,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبُثِ وَالْخَبَائِثِ,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبُثِ وَالْخَبَائِثِ,,,morning,Al-Bukhari 6322,Hisnul Muslim,1,false
morning_7,es,Al salir del baño,غُفْرَانَكَ,Ghufranaka,Te pidoTu perdón.,morning,Abu Dawud 30,Hisnul Muslim,1,false
morning_7,en,,,,,,,,,false
morning_7,ar,غُفْرَانَكَ,غُفْرَانَكَ,,,morning,Abu Dawud 30,Hisnul Muslim,1,false
night_1,es,Al comenzar la noche,أَمْسَيْنَا وَأَمْسَى الْمُلْكُ لِلَّهِ,Amsayna wa amsa l-mulku lillah,Hemos anochecido y el dominio pertenece a Allah.,night,Muslim 2723,Hisnul Muslim,1,true
night_1,en,,,,,,,,,false
night_1,ar,أَمْسَيْنَا وَأَمْسَى الْمُلْكُ لِلَّهِ,أَمْسَيْنَا وَأَمْسَى الْمُلْكُ لِلَّهِ,,,night,Muslim 2723,Hisnul Muslim,1,true
night_2,es,Confianza en Allah al dormir,حَسْبِيَ اللَّهُ لاَ إِلَهَ إِلاَّ هُوَ عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ,Hasbiya Allahu la ilaha illa huwa alayhi tawakkaltu wa huwa rabbu l-arshi l-azim,Allah me basta. No hay divinidad sino Él. En Él confío y Él es el Señor del Trono Grande.,night,"Al-Bukhari 3193, At-Tirmidhi 3394",Hisnul Muslim,1,true
night_2,en,,,,,,,,,false
night_2,ar,حَسْبِيَ اللَّهُ لاَ إِلَهَ إِلاَّ هُوَ عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ,حَسْبِيَ اللَّهُ لاَ إِلَهَ إِلاَّ هُوَ عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ,,,night,"Al-Bukhari 3193, At-Tirmidhi 3394",Hisnul Muslim,1,true
